label,text
spam,1000 đô la tiền mặt MIỄN PHÍ đang chờ bạn. Nhận ngay tại đây!
spam,Kiếm tiền nhanh chóng! Kiếm 50000 đô la một tuần từ việc làm ở nhà.
ham,"Hello, are we still meeting tomorrow?"
ham,cuộc gọi sẽ bắt đầu lúc lát nữa.
ham,Please send me the invoice before tomorrow.
ham,Please send me the design draft before Wednesday.
spam,Kiếm tiền nhanh chóng! Kiếm 50000 đô la một tuần từ việc làm ở nhà.
spam,một chiếc laptop miễn phí MIỄN PHÍ đang chờ bạn. Nhấn vào đây ngay!
ham,"Chào bạn, chúng ta vẫn gặp nhau vào lát nữa chứ?"
ham,Tôi sẽ bị ốm vào vào thứ Hai.
ham,Vui lòng gửi cho tôi bản nháp thiết kế trước ngày mai.
spam,Make money fast! Earn $50000 a week from home.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với viết code.
ham,I will be in a meeting at 8 AM.
ham,Đừng quên cuộc gọi của chúng ta vào lúc 8 giờ sáng.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với kiểm thử.
spam,Congratulations! You have won a free prize. Claim it here!
spam,Chúc mừng! Bạn đã trúng một Bitcoin. Nhấn vào đây ngay!
ham,Cảm ơn vì đã giúp tôi với bản báo cáo.
ham,Vui lòng gửi cho tôi ghi chú cuộc họp trước thứ Sáu.
ham,Can you call me when you arrive home?
spam,TRÚNG 500 đô la ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
spam,You have been selected for a special offer. Click this link.
spam,một kỳ nghỉ dưỡng sang trọng của bạn đã sẵn sàng để giao. Hành động nhanh lên!
ham,Đừng quên hội nghị của chúng ta vào tuần sau.
spam,Get 50% off on all products! Click this link.
ham,Hãy lên lịch cho một bữa tối vào tuần sau.
spam,Double your income! Learn how to make $2500 easily. Claim it here!
spam,TRÚNG 1000 đô la tiền mặt ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
spam,Double your income! Learn how to make $5000 easily. Reply to this email.
ham,buổi phỏng vấn sẽ bắt đầu lúc chiều nay.
spam,Giảm giá 80% cho tất cả sản phẩm! Trả lời email này.
ham,Vui lòng gửi cho tôi bản thuyết trình trước thứ Ba.
spam,Your $2000 shopping voucher is ready to be shipped. Visit our website.
ham,The dinner will begin at 8 AM.
ham,Tôi sẽ bị ốm vào chiều nay.
ham,Đừng quên buổi phỏng vấn của chúng ta vào tối nay.
ham,Let's schedule a lunch for on Monday.
ham,Hãy lên lịch cho một buổi họp nhóm vào ngày mai.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Trả lời email này.
spam,Kiếm tiền nhanh chóng! Kiếm 500 đô la một tuần từ việc làm ở nhà.
spam,Chúc mừng! Bạn đã trúng 500 đô la. Gọi ngay!
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Trả lời email này.
spam,FREE $1000 cash waiting for you. Visit our website.
spam,Nhân đôi thu nhập! Học cách kiếm 1000 đô la dễ dàng. Đừng bỏ lỡ!
spam,Ưu đãi có thời hạn! Nhận một chiếc laptop miễn phí miễn phí! Truy cập trang web của chúng tôi.
ham,Hãy lên lịch cho một cuộc gọi vào lát nữa.
ham,Cảm ơn vì đã giúp tôi với viết code.
ham,Can you call me when you are free?
spam,Ưu đãi có thời hạn! Nhận 500 đô la miễn phí! Đừng bỏ lỡ!
ham,Hãy lên lịch cho một cuộc họp vào chiều nay.
ham,Cảm ơn vì đã giúp tôi với dự án của bạn.
spam,Get 80% off on all products! Act fast!
spam,Nhân đôi thu nhập! Học cách kiếm 200 đô la dễ dàng. Nhấn vào đây ngay!
ham,Bạn đã xem lại ghi chú cuộc họp chưa?
ham,Can you call me when you arrive home?
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Truy cập trang web của chúng tôi.
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Nhận ngay tại đây!
ham,"Hello, are we still meeting at 8 AM?"
ham,Cảm ơn vì đã giúp tôi với viết code.
spam,TRÚNG phiếu mua hàng trị giá 2000 đô la ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Bạn đã xem lại ghi chú cuộc họp chưa?
spam,một thẻ quà tặng của bạn đã sẵn sàng để giao. Truy cập trang web của chúng tôi.
spam,Kiếm tiền nhanh chóng! Kiếm 5000 đô la một tuần từ việc làm ở nhà.
ham,Bạn có thể gọi cho tôi khi bạn đến văn phòng không?
spam,Nhân đôi thu nhập! Học cách kiếm 10000 đô la dễ dàng. Click vào liên kết này.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Click vào liên kết này.
spam,Ưu đãi có thời hạn! Nhận phiếu mua hàng trị giá 2000 đô la miễn phí! Truy cập trang web của chúng tôi.
spam,Kiếm tiền nhanh chóng! Kiếm 50000 đô la một tuần từ việc làm ở nhà.
ham,Cảm ơn vì đã giúp tôi với viết code.
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Đừng bỏ lỡ!
ham,The interview will begin next week.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Nhấn vào đây ngay!
ham,"Chào bạn, chúng ta vẫn gặp nhau vào lúc 2 giờ chiều chứ?"
spam,Chúc mừng! Bạn đã trúng 500 đô la. Đừng bỏ lỡ!
spam,Congratulations! You have won a gift card. Reply to this email.
spam,Kiếm tiền nhanh chóng! Kiếm 50000 đô la một tuần từ việc làm ở nhà.
spam,Giảm giá 20% cho tất cả sản phẩm! Trả lời email này.
ham,Can you call me when you are free?
spam,TRÚNG một phần thưởng miễn phí ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,lịch hẹn sẽ bắt đầu lúc lúc 2 giờ chiều.
spam,Get 80% off on all products! Click here now!
spam,Urgent! Your account needs verification. Visit our website.
spam,Nhân đôi thu nhập! Học cách kiếm 5000 đô la dễ dàng. Truy cập trang web của chúng tôi.
spam,Kiếm tiền nhanh chóng! Kiếm 500 đô la một tuần từ việc làm ở nhà.
spam,Limited time offer! Get a luxury vacation for free! Click here now!
ham,Đừng quên buổi họp nhóm của chúng ta vào thứ Sáu tới.
ham,Bạn có thể gọi cho tôi khi bạn họp xong không?
spam,Get 30% off on all products! Act fast!
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với bản báo cáo.
ham,Can you call me when you wake up?
spam,Double your income! Learn how to make $5000 easily. Click here now!
spam,Double your income! Learn how to make $2500 easily. Reply to this email.
ham,Hãy lên lịch cho một buổi phỏng vấn vào lát nữa.
spam,Make money fast! Earn $1000 a week from home.
spam,Ưu đãi có thời hạn! Nhận 1000 đô la tiền mặt miễn phí! Nhận ngay tại đây!
spam,Nhân đôi thu nhập! Học cách kiếm 5000 đô la dễ dàng. Gọi ngay!
ham,Did you review the assignment yet?
ham,bữa trưa sẽ bắt đầu lúc tối nay.
ham,The dinner will begin at 8 AM.
spam,Ưu đãi có thời hạn! Nhận một thẻ quà tặng miễn phí! Nhận ngay tại đây!
spam,Kiếm tiền nhanh chóng! Kiếm 5000 đô la một tuần từ việc làm ở nhà.
ham,Vui lòng gửi cho tôi mã nguồn trước cuối tuần.
spam,Kiếm tiền nhanh chóng! Kiếm 200 đô la một tuần từ việc làm ở nhà.
ham,Vui lòng gửi cho tôi bản thuyết trình trước thứ Ba.
spam,1000 đô la tiền mặt MIỄN PHÍ đang chờ bạn. Hành động nhanh lên!
spam,Kiếm tiền nhanh chóng! Kiếm 10000 đô la một tuần từ việc làm ở nhà.
spam,một Bitcoin MIỄN PHÍ đang chờ bạn. Trả lời email này.
ham,Cảm ơn vì đã giúp tôi với bản báo cáo.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Đừng bỏ lỡ!
ham,Bạn có thể gọi cho tôi khi bạn có thời gian không?
ham,"Chào bạn, chúng ta vẫn gặp nhau vào thứ Sáu tới chứ?"
ham,cuộc họp sẽ bắt đầu lúc tối nay.
spam,Giảm giá 50% cho tất cả sản phẩm! Trả lời email này.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với viết code.
spam,Limited time offer! Get a new iPhone for free! Don't miss out!
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Gọi ngay!
spam,Limited time offer! Get $1000 cash for free! Reply to this email.
ham,Hãy lên lịch cho một lớp học vào lát nữa.
spam,Nhân đôi thu nhập! Học cách kiếm 5000 đô la dễ dàng. Đừng bỏ lỡ!
spam,TRÚNG 1000 đô la tiền mặt ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Hãy lên lịch cho một lịch hẹn vào ngày mai.
ham,Bạn đã xem lại hóa đơn chưa?
ham,"Chào bạn, chúng ta vẫn gặp nhau vào cuối tuần này chứ?"
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Nhận ngay tại đây!
spam,Giảm giá 80% cho tất cả sản phẩm! Truy cập trang web của chúng tôi.
spam,Make money fast! Earn $10000 a week from home.
ham,I will be in a meeting next Friday.
spam,Your a luxury vacation is ready to be shipped. Visit our website.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Nhấn vào đây ngay!
ham,Vui lòng gửi cho tôi mã nguồn trước cuối tuần.
ham,Let's schedule a conference for this weekend.
spam,một chiếc iPhone mới MIỄN PHÍ đang chờ bạn. Nhấn vào đây ngay!
spam,Limited time offer! Get a Bitcoin for free! Claim it here!
ham,"Chào bạn, chúng ta vẫn gặp nhau vào ngày mai chứ?"
ham,Did you review the financial statement yet?
ham,Đừng quên cuộc họp của chúng ta vào tuần sau.
spam,FREE a gift card waiting for you. Call now!
spam,Double your income! Learn how to make $200 easily. Click this link.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với ngân sách.
spam,Ưu đãi có thời hạn! Nhận một phần thưởng miễn phí miễn phí! Trả lời email này.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào ngày mai chứ?"
spam,TRÚNG một chiếc ô tô mới tinh ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Bạn đã xem lại bài tập chưa?
spam,một chiếc iPhone mới của bạn đã sẵn sàng để giao. Trả lời email này.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào thứ Sáu tới chứ?"
spam,Nhân đôi thu nhập! Học cách kiếm 5000 đô la dễ dàng. Nhấn vào đây ngay!
ham,Hãy lên lịch cho một bữa tối vào lúc 8 giờ sáng.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Hành động nhanh lên!
ham,Vui lòng gửi cho tôi bản thuyết trình trước cuối tuần.
spam,You have been selected for a special offer. Call now!
spam,Ưu đãi có thời hạn! Nhận một Bitcoin miễn phí! Truy cập trang web của chúng tôi.
ham,Thanks for helping me with the report.
spam,You have been selected for a special offer. Visit our website.
ham,Hãy lên lịch cho một lịch hẹn vào thứ Sáu tới.
ham,The dinner will begin at 8 AM.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Đừng bỏ lỡ!
ham,Bạn đã xem lại bài tập chưa?
ham,Vui lòng gửi cho tôi đề xuất dự án trước thứ Sáu.
spam,Chúc mừng! Bạn đã trúng một chiếc ô tô mới tinh. Đừng bỏ lỡ!
spam,TRÚNG một chiếc laptop miễn phí ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Cảm ơn vì đã giúp tôi với việc triển khai.
ham,Vui lòng gửi cho tôi đề xuất dự án trước ngày mai.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Gọi ngay!
spam,FREE a new iPhone waiting for you. Reply to this email.
spam,Ưu đãi có thời hạn! Nhận phiếu mua hàng trị giá 2000 đô la miễn phí! Trả lời email này.
ham,I will be sick this weekend.
ham,Hãy lên lịch cho một bữa trưa vào lúc 2 giờ chiều.
spam,một chiếc iPhone mới của bạn đã sẵn sàng để giao. Truy cập trang web của chúng tôi.
spam,Congratulations! You have won a brand new car. Don't miss out!
spam,Kiếm tiền nhanh chóng! Kiếm 2500 đô la một tuần từ việc làm ở nhà.
ham,Bạn đã xem lại bản thuyết trình chưa?
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Trả lời email này.
ham,Cảm ơn vì đã giúp tôi với ngân sách.
ham,Bạn đã xem lại ghi chú cuộc họp chưa?
spam,Congratulations! You have won a brand new car. Visit our website.
spam,Nhân đôi thu nhập! Học cách kiếm 500 đô la dễ dàng. Nhấn vào đây ngay!
ham,"Chào bạn, chúng ta vẫn gặp nhau vào lúc 8 giờ sáng chứ?"
spam,Double your income! Learn how to make $200 easily. Don't miss out!
spam,Kiếm tiền nhanh chóng! Kiếm 200 đô la một tuần từ việc làm ở nhà.
ham,"Hello, are we still meeting on Monday?"
ham,lớp học sẽ bắt đầu lúc tuần sau.
spam,Your $2000 shopping voucher is ready to be shipped. Click this link.
ham,Tôi sẽ bị ốm vào vào thứ Hai.
ham,I will be out of office later today.
spam,Nhân đôi thu nhập! Học cách kiếm 1000 đô la dễ dàng. Gọi ngay!
ham,"Chào bạn, chúng ta vẫn gặp nhau vào cuối tuần này chứ?"
ham,The lunch will begin at 8 AM.
spam,Kiếm tiền nhanh chóng! Kiếm 500 đô la một tuần từ việc làm ở nhà.
spam,Kiếm tiền nhanh chóng! Kiếm 200 đô la một tuần từ việc làm ở nhà.
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Nhận ngay tại đây!
ham,Vui lòng gửi cho tôi báo cáo trước thứ Năm.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào lúc 2 giờ chiều chứ?"
ham,Vui lòng gửi cho tôi đề xuất dự án trước thứ Hai.
ham,buổi họp nhóm sẽ bắt đầu lúc chiều nay.
ham,Bạn có thể gọi cho tôi khi bạn thức dậy không?
ham,Cảm ơn vì đã giúp tôi với dự án của bạn.
ham,Hãy lên lịch cho một buổi phỏng vấn vào ngày mai.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Click vào liên kết này.
spam,1000 đô la tiền mặt MIỄN PHÍ đang chờ bạn. Hành động nhanh lên!
ham,lịch hẹn sẽ bắt đầu lúc vào thứ Hai.
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Gọi ngay!
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với viết code.
spam,một chiếc ô tô mới tinh của bạn đã sẵn sàng để giao. Trả lời email này.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với bài tập.
spam,Ưu đãi có thời hạn! Nhận một thẻ quà tặng miễn phí! Hành động nhanh lên!
ham,Đừng quên bữa trưa của chúng ta vào lúc 8 giờ sáng.
spam,Your a luxury vacation is ready to be shipped. Click this link.
spam,Your a free laptop is ready to be shipped. Call now!
spam,Giảm giá 30% cho tất cả sản phẩm! Gọi ngay!
ham,Thanks for helping me with the assignment.
ham,Tôi sẽ vắng mặt vào lúc 8 giờ sáng.
ham,Bạn đã xem lại bản thuyết trình chưa?
ham,Did you review the code yet?
ham,Let me know if you need help with testing.
ham,Bạn có thể gọi cho tôi khi bạn có thời gian không?
ham,Đừng quên hội nghị của chúng ta vào vào thứ Hai.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với ngân sách.
ham,Let's schedule a conference for next week.
spam,một chiếc iPhone mới MIỄN PHÍ đang chờ bạn. Trả lời email này.
spam,Kiếm tiền nhanh chóng! Kiếm 2500 đô la một tuần từ việc làm ở nhà.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với bài tập.
ham,Can you call me when you finish the meeting?
spam,1000 đô la tiền mặt MIỄN PHÍ đang chờ bạn. Click vào liên kết này.
ham,Hãy lên lịch cho một cuộc gọi vào cuối tuần này.
spam,Urgent! Your account needs verification. Claim it here!
ham,Vui lòng gửi cho tôi bài tập trước thứ Tư.
ham,Bạn đã xem lại hóa đơn chưa?
ham,"Chào bạn, chúng ta vẫn gặp nhau vào tuần sau chứ?"
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Hành động nhanh lên!
ham,Cảm ơn vì đã giúp tôi với bài thuyết trình.
spam,Ưu đãi có thời hạn! Nhận phiếu mua hàng trị giá 2000 đô la miễn phí! Đừng bỏ lỡ!
spam,WIN a free prize now! Claim your free reward today!
ham,"Chào bạn, chúng ta vẫn gặp nhau vào ngày mai chứ?"
ham,Bạn đã xem lại bài tập chưa?
ham,Hãy lên lịch cho một bữa tối vào ngày mai.
spam,WIN a luxury vacation now! Claim your free reward today!
spam,Congratulations! You have won a free laptop. Call now!
